,ФИО коллеги,Оцениваемая задача,Достижение запланированных результатов (0-10),Комментарий о личных качествах,Качество взаимодействия (0-10),Рекомендации по улучшению,Балл за результаты
Сотрудник 401,Козлов С.В.,Разработка документации,8,"Аналитическое мышление, внимательность к рискам",9,Развивать навыки менторства,3
Сотрудник 402,Иванов И.К.,Улучшение безопасности,5,"Техническая экспертиза, креативность, самостоятельность",5,Усилить коммуникацию с другими отделами,2
Сотрудник 403,Петров С.С.,Внедрение новых технологий,10,"Проявил инициативу, быстро учился, эффективно решал проблемы",7,Усилить коммуникацию с другими отделами,3
Сотрудник 404,Сидоров К.К.,Разработка нового функционала,5,"Проявил инициативу, быстро учился, эффективно решал проблемы",10,Развивать навыки презентации результатов,3
Сотрудник 405,Сидоров И.И.,Оптимизация процессов,10,"Техническая экспертиза, креативность, самостоятельность",8,Развивать навыки презентации результатов,3
Сотрудник 406,Васильев С.К.,Миграция системы,7,"Аналитическое мышление, внимательность к рискам",9,Развивать навыки презентации результатов,3
Сотрудник 407,Петров В.П.,Разработка документации,9,"Системное мышление, внимание к деталям, ответственность",8,Развивать навыки менторства,3
Сотрудник 408,Васильев П.И.,Автоматизация процессов,5,"Системное мышление, внимание к деталям, ответственность",8,Развивать навыки презентации результатов,3
Сотрудник 409,Волков М.К.,Автоматизация процессов,5,"Системное мышление, внимание к деталям, ответственность",5,Усилить коммуникацию с командой,2
Сотрудник 410,Смирнов И.С.,Разработка документации,7,"Аналитическое мышление, внимательность к рискам",10,Усилить коммуникацию с другими отделами,3
Сотрудник 411,Козлов В.В.,Автоматизация процессов,8,"Системное мышление, внимание к деталям, ответственность",7,Усилить коммуникацию с другими отделами,3
Сотрудник 412,Волков И.И.,Автоматизация процессов,8,"Проявил инициативу, быстро учился, эффективно решал проблемы",6,Развивать навыки менторства,3
Сотрудник 413,Михайлов С.В.,Улучшение безопасности,5,"Техническая экспертиза, креативность, самостоятельность",8,Улучшить документацию процессов,3
Сотрудник 414,Васильев В.С.,Оптимизация производительности,9,"Организованность, внимательность, стрессоустойчивость",9,Развивать навыки презентации результатов,3
Сотрудник 415,Петров С.В.,Внедрение новых технологий,5,"Аналитическое мышление, внимательность к рискам",8,Улучшить документацию процессов,3
Сотрудник 416,Иванов В.М.,Внедрение новых технологий,9,"Системное мышление, внимание к деталям, ответственность",10,Развивать навыки презентации результатов,3
Сотрудник 417,Козлов В.В.,Автоматизация процессов,5,"Проявил инициативу, быстро учился, эффективно решал проблемы",9,Развивать навыки презентации результатов,3
Сотрудник 418,Сидоров В.П.,Миграция системы,6,"Аналитическое мышление, внимательность к рискам",10,Развивать навыки презентации результатов,3
Сотрудник 419,Сидоров В.М.,Разработка документации,6,"Аналитическое мышление, внимательность к рискам",10,Усилить коммуникацию с командой,3
Сотрудник 420,Михайлов П.П.,Миграция системы,5,"Аналитическое мышление, внимательность к рискам",10,Усилить коммуникацию с командой,3
Сотрудник 421,Васильев С.С.,Разработка документации,7,"Техническая экспертиза, креативность, самостоятельность",5,Усилить коммуникацию с командой,2
Сотрудник 422,Волков С.И.,Оптимизация процессов,8,"Техническая экспертиза, креативность, самостоятельность",6,Усилить коммуникацию с командой,3
Сотрудник 423,Козлов В.П.,Миграция системы,10,"Проявил инициативу, быстро учился, эффективно решал проблемы",10,Усилить коммуникацию с другими отделами,3
Сотрудник 424,Волков П.С.,Оптимизация производительности,10,"Техническая экспертиза, креативность, самостоятельность",10,Развивать навыки менторства,3
Сотрудник 425,Смирнов И.К.,Оптимизация производительности,10,"Техническая экспертиза, креативность, самостоятельность",5,Усилить коммуникацию с командой,3
Сотрудник 426,Васильев П.С.,Улучшение безопасности,9,"Системное мышление, внимание к деталям, ответственность",10,Улучшить документацию процессов,3
Сотрудник 427,Михайлов В.В.,Оптимизация производительности,7,"Системное мышление, внимание к деталям, ответственность",9,Усилить коммуникацию с командой,3
Сотрудник 428,Васильев С.М.,Оптимизация процессов,8,"Организованность, внимательность, стрессоустойчивость",10,Усилить коммуникацию с командой,3
Сотрудник 429,Сидоров К.С.,Разработка нового функционала,5,"Техническая экспертиза, креативность, самостоятельность",7,Усилить коммуникацию с другими отделами,2
Сотрудник 430,Смирнов М.И.,Миграция системы,5,"Системное мышление, внимание к деталям, ответственность",7,Развивать навыки презентации результатов,2
Сотрудник 431,Михайлов В.П.,Автоматизация процессов,9,"Проявил инициативу, быстро учился, эффективно решал проблемы",8,Улучшить документацию процессов,3
Сотрудник 432,Волков И.В.,Миграция системы,7,"Аналитическое мышление, внимательность к рискам",10,Развивать навыки презентации результатов,3
Сотрудник 433,Михайлов П.И.,Внедрение новых технологий,8,"Проявил инициативу, быстро учился, эффективно решал проблемы",10,Развивать навыки менторства,3
Сотрудник 434,Иванов М.С.,Автоматизация процессов,5,"Проявил инициативу, быстро учился, эффективно решал проблемы",5,Развивать навыки менторства,2
Сотрудник 435,Смирнов К.С.,Миграция системы,6,"Организованность, внимательность, стрессоустойчивость",9,Усилить коммуникацию с другими отделами,3
Сотрудник 436,Смирнов С.И.,Оптимизация процессов,10,"Организованность, внимательность, стрессоустойчивость",5,Развивать навыки презентации результатов,3
Сотрудник 437,Смирнов В.В.,Оптимизация производительности,5,"Организованность, внимательность, стрессоустойчивость",7,Развивать навыки презентации результатов,2
Сотрудник 438,Волков М.М.,Разработка документации,9,"Аналитическое мышление, внимательность к рискам",8,Усилить коммуникацию с другими отделами,3
Сотрудник 439,Козлов С.В.,Улучшение безопасности,8,"Организованность, внимательность, стрессоустойчивость",6,Усилить коммуникацию с другими отделами,3
Сотрудник 440,Волков К.В.,Оптимизация производительности,10,"Техническая экспертиза, креативность, самостоятельность",8,Усилить коммуникацию с командой,3
Сотрудник 441,Михайлов П.И.,Оптимизация производительности,8,"Техническая экспертиза, креативность, самостоятельность",8,Усилить коммуникацию с командой,3
Сотрудник 442,Иванов П.И.,Разработка документации,6,"Проявил инициативу, быстро учился, эффективно решал проблемы",5,Усилить коммуникацию с другими отделами,2
Сотрудник 443,Михайлов М.К.,Внедрение новых технологий,10,"Проявил инициативу, быстро учился, эффективно решал проблемы",8,Развивать навыки менторства,3
Сотрудник 444,Васильев И.И.,Разработка документации,6,"Организованность, внимательность, стрессоустойчивость",10,Усилить коммуникацию с командой,3
Сотрудник 445,Смирнов В.С.,Оптимизация процессов,10,"Системное мышление, внимание к деталям, ответственность",7,Развивать навыки менторства,3
Сотрудник 446,Смирнов С.М.,Разработка нового функционала,9,"Организованность, внимательность, стрессоустойчивость",7,Усилить коммуникацию с другими отделами,3
Сотрудник 447,Иванов К.П.,Оптимизация производительности,5,"Аналитическое мышление, внимательность к рискам",10,Развивать навыки менторства,3
Сотрудник 448,Сидоров М.П.,Оптимизация производительности,5,"Системное мышление, внимание к деталям, ответственность",8,Усилить коммуникацию с командой,3
Сотрудник 449,Михайлов К.М.,Разработка документации,8,"Системное мышление, внимание к деталям, ответственность",8,Усилить коммуникацию с командой,3
Сотрудник 450,Петров И.И.,Разработка документации,9,"Организованность, внимательность, стрессоустойчивость",5,Усилить коммуникацию с командой,3
Сотрудник 451,Смирнов М.И.,Разработка нового функционала,9,"Аналитическое мышление, внимательность к рискам",5,Усилить коммуникацию с командой,3
Сотрудник 452,Михайлов С.М.,Оптимизация производительности,5,"Системное мышление, внимание к деталям, ответственность",6,Усилить коммуникацию с другими отделами,2
Сотрудник 453,Михайлов С.И.,Оптимизация процессов,6,"Проявил инициативу, быстро учился, эффективно решал проблемы",8,Развивать навыки менторства,3
Сотрудник 454,Козлов М.С.,Внедрение новых технологий,9,"Аналитическое мышление, внимательность к рискам",8,Развивать навыки презентации результатов,3
Сотрудник 455,Козлов С.И.,Автоматизация процессов,7,"Системное мышление, внимание к деталям, ответственность",9,Усилить коммуникацию с командой,3
Сотрудник 456,Иванов С.С.,Внедрение новых технологий,5,"Организованность, внимательность, стрессоустойчивость",6,Улучшить документацию процессов,2
Сотрудник 457,Смирнов И.П.,Автоматизация процессов,8,"Техническая экспертиза, креативность, самостоятельность",5,Усилить коммуникацию с другими отделами,3
Сотрудник 458,Петров С.К.,Оптимизация процессов,10,"Аналитическое мышление, внимательность к рискам",10,Развивать навыки менторства,3
Сотрудник 459,Петров К.С.,Миграция системы,8,"Проявил инициативу, быстро учился, эффективно решал проблемы",6,Улучшить документацию процессов,3
Сотрудник 460,Волков С.С.,Оптимизация производительности,5,"Системное мышление, внимание к деталям, ответственность",8,Улучшить документацию процессов,3
Сотрудник 461,Васильев М.С.,Автоматизация процессов,9,"Аналитическое мышление, внимательность к рискам",6,Развивать навыки презентации результатов,3
Сотрудник 462,Козлов П.П.,Внедрение новых технологий,8,"Аналитическое мышление, внимательность к рискам",7,Усилить коммуникацию с командой,3
Сотрудник 463,Петров В.П.,Разработка документации,8,"Аналитическое мышление, внимательность к рискам",7,Развивать навыки презентации результатов,3
Сотрудник 464,Козлов В.С.,Разработка документации,8,"Проявил инициативу, быстро учился, эффективно решал проблемы",7,Развивать навыки менторства,3
Сотрудник 465,Иванов К.П.,Внедрение новых технологий,5,"Организованность, внимательность, стрессоустойчивость",10,Усилить коммуникацию с командой,3
Сотрудник 466,Петров В.С.,Разработка документации,5,"Техническая экспертиза, креативность, самостоятельность",10,Улучшить документацию процессов,3
Сотрудник 467,Иванов В.М.,Оптимизация производительности,5,"Техническая экспертиза, креативность, самостоятельность",10,Улучшить документацию процессов,3
Сотрудник 468,Козлов В.И.,Оптимизация процессов,5,"Организованность, внимательность, стрессоустойчивость",8,Развивать навыки менторства,3
Сотрудник 469,Михайлов К.В.,Разработка документации,7,"Проявил инициативу, быстро учился, эффективно решал проблемы",6,Усилить коммуникацию с командой,3
Сотрудник 470,Михайлов М.М.,Автоматизация процессов,9,"Организованность, внимательность, стрессоустойчивость",7,Развивать навыки менторства,3
Сотрудник 471,Михайлов В.В.,Внедрение новых технологий,5,"Аналитическое мышление, внимательность к рискам",5,Усилить коммуникацию с другими отделами,2
Сотрудник 472,Смирнов П.И.,Улучшение безопасности,10,"Организованность, внимательность, стрессоустойчивость",8,Улучшить документацию процессов,3
Сотрудник 473,Иванов С.С.,Миграция системы,9,"Организованность, внимательность, стрессоустойчивость",9,Улучшить документацию процессов,3
Сотрудник 474,Васильев С.П.,Автоматизация процессов,10,"Аналитическое мышление, внимательность к рискам",6,Развивать навыки презентации результатов,3
Сотрудник 475,Михайлов В.И.,Оптимизация процессов,6,"Техническая экспертиза, креативность, самостоятельность",9,Развивать навыки презентации результатов,3
Сотрудник 476,Волков М.С.,Внедрение новых технологий,10,"Проявил инициативу, быстро учился, эффективно решал проблемы",5,Усилить коммуникацию с другими отделами,3
Сотрудник 477,Сидоров К.И.,Улучшение безопасности,10,"Проявил инициативу, быстро учился, эффективно решал проблемы",10,Развивать навыки менторства,3
Сотрудник 478,Сидоров С.С.,Оптимизация процессов,8,"Проявил инициативу, быстро учился, эффективно решал проблемы",10,Улучшить документацию процессов,3
Сотрудник 479,Иванов И.П.,Улучшение безопасности,6,"Организованность, внимательность, стрессоустойчивость",5,Улучшить документацию процессов,2
Сотрудник 480,Сидоров В.С.,Автоматизация процессов,6,"Системное мышление, внимание к деталям, ответственность",6,Развивать навыки менторства,2
Сотрудник 481,Сидоров В.И.,Автоматизация процессов,10,"Системное мышление, внимание к деталям, ответственность",10,Улучшить документацию процессов,3
Сотрудник 482,Волков В.В.,Внедрение новых технологий,10,"Аналитическое мышление, внимательность к рискам",10,Усилить коммуникацию с другими отделами,3
Сотрудник 483,Иванов К.К.,Оптимизация производительности,10,"Техническая экспертиза, креативность, самостоятельность",7,Улучшить документацию процессов,3
Сотрудник 484,Михайлов И.П.,Внедрение новых технологий,9,"Организованность, внимательность, стрессоустойчивость",7,Усилить коммуникацию с другими отделами,3
Сотрудник 485,Козлов К.К.,Оптимизация процессов,5,"Техническая экспертиза, креативность, самостоятельность",5,Улучшить документацию процессов,2
Сотрудник 486,Иванов В.К.,Миграция системы,7,"Системное мышление, внимание к деталям, ответственность",9,Усилить коммуникацию с командой,3
Сотрудник 487,Смирнов В.П.,Разработка нового функционала,9,"Проявил инициативу, быстро учился, эффективно решал проблемы",7,Развивать навыки менторства,3
Сотрудник 488,Михайлов К.В.,Оптимизация производительности,9,"Техническая экспертиза, креативность, самостоятельность",8,Усилить коммуникацию с другими отделами,3
Сотрудник 489,Сидоров И.И.,Автоматизация процессов,6,"Проявил инициативу, быстро учился, эффективно решал проблемы",7,Развивать навыки презентации результатов,3
Сотрудник 490,Петров К.В.,Разработка нового функционала,9,"Аналитическое мышление, внимательность к рискам",7,Улучшить документацию процессов,3
Сотрудник 491,Михайлов П.С.,Оптимизация процессов,7,"Проявил инициативу, быстро учился, эффективно решал проблемы",5,Развивать навыки презентации результатов,2
Сотрудник 492,Волков С.К.,Внедрение новых технологий,5,"Организованность, внимательность, стрессоустойчивость",6,Усилить коммуникацию с командой,2
Сотрудник 493,Волков М.В.,Оптимизация производительности,5,"Техническая экспертиза, креативность, самостоятельность",5,Развивать навыки менторства,2
Сотрудник 494,Волков В.П.,Оптимизация процессов,5,"Техническая экспертиза, креативность, самостоятельность",9,Усилить коммуникацию с командой,3
Сотрудник 495,Козлов К.В.,Разработка нового функционала,8,"Проявил инициативу, быстро учился, эффективно решал проблемы",6,Улучшить документацию процессов,3
Сотрудник 496,Козлов П.С.,Оптимизация производительности,8,"Проявил инициативу, быстро учился, эффективно решал проблемы",5,Развивать навыки презентации результатов,3
Сотрудник 497,Васильев С.В.,Автоматизация процессов,5,"Организованность, внимательность, стрессоустойчивость",10,Развивать навыки менторства,3
Сотрудник 498,Иванов В.М.,Оптимизация производительности,8,"Проявил инициативу, быстро учился, эффективно решал проблемы",7,Развивать навыки презентации результатов,3
Сотрудник 499,Васильев В.К.,Оптимизация процессов,6,"Техническая экспертиза, креативность, самостоятельность",6,Развивать навыки презентации результатов,2
Сотрудник 500,Васильев В.В.,Разработка документации,9,"Системное мышление, внимание к деталям, ответственность",6,Усилить коммуникацию с другими отделами,3
